0	6C
1	61
2	6B
3	73
4	6A
9	6A
17	75
18	68
19	6B
20	6D
21	6E
22	6E
23	66
24	6B
25	67
26	6A
27	64
34	72
35	72
36	74
37	74
38	74
39	64
40	64
41	63
42	63
43	63
44	76
45	66
46	72
47	72
48	64
49	64
50	6C
51	73
52	64
53	6C
54	66
55	6B
56	6A
57	6B
58	6A
59	66
60	6B
61	67
62	66
63	6C
64	64
65	6B
127	6A
128	66
129	68
130	73
131	6B
132	75
133	77
134	69
135	72
136	79
137	65
138	6A
273	77
274	6C
275	72
276	6B
277	65
278	6A
279	72
280	6C
281	77
282	6B
283	65
284	72
285	6A
286	70
287	64
288	73
289	6F
290	66
291	73
292	64
293	66
294	6A
363	64
364	75
365	64
366	66
367	6A
407	6B
408	6A
409	64
410	66
411	68
412	75
413	68
414	6B
415	6D
416	6E
417	6E
505	6F
872	64
873	6B
874	66
875	6A
876	67
877	6D
878	63
879	6B
880	6A
881	6C
882	6B
883	6A
884	6C
938	76
939	62
940	78
941	6D
942	63
943	62
944	6E
945	76
946	68
947	6A
1027	64
1028	69
1029	66
1030	73
1031	64
1032	66
1033	6F
1034	65
